Gene	Name	Type
GLYMA_01G024300	GLYMA_01G024300	protein_coding
GLYMA_01G024400	GLYMA_01G024400	protein_coding
GLYMA_01G024500	GLYMA_01G024500	protein_coding
GLYMA_01G024600	GLYMA_01G024600	protein_coding
GLYMA_01G024700	GLYMA_01G024700	protein_coding
GLYMA_01G024800	GLYMA_01G024800	protein_coding
GLYMA_01G024900	GLYMA_01G024900	protein_coding
GLYMA_01G025000	GLYMA_01G025000	protein_coding
GLYMA_01G025100	GLYMA_01G025100	protein_coding
GLYMA_01G025200	GLYMA_01G025200	protein_coding
GLYMA_01G025300	GLYMA_01G025300	protein_coding
GLYMA_01G025400	GLYMA_01G025400	protein_coding
GLYMA_01G025500	GLYMA_01G025500	protein_coding
GLYMA_01G025600	GLYMA_01G025600	protein_coding
GLYMA_01G025700	GLYMA_01G025700	protein_coding
GLYMA_01G025800	GLYMA_01G025800	protein_coding
GLYMA_01G025900	GLYMA_01G025900	protein_coding
GLYMA_01G026000	GLYMA_01G026000	protein_coding
GLYMA_01G026100	GLYMA_01G026100	protein_coding
GLYMA_01G026200	GLYMA_01G026200	protein_coding
GLYMA_01G026300	GLYMA_01G026300	protein_coding
GLYMA_01G026400	GLYMA_01G026400	protein_coding
GLYMA_01G026500	GLYMA_01G026500	protein_coding
GLYMA_01G026600	GLYMA_01G026600	protein_coding
GLYMA_01G026700	GLYMA_01G026700	protein_coding
GLYMA_01G026800	GLYMA_01G026800	protein_coding
GLYMA_01G026900	GLYMA_01G026900	protein_coding
GLYMA_01G027000	GLYMA_01G027000	protein_coding
GLYMA_01G027100	GLYMA_01G027100	protein_coding
GLYMA_01G027200	GLYMA_01G027200	protein_coding
GLYMA_01G027300	GLYMA_01G027300	protein_coding
GLYMA_01G027400	GLYMA_01G027400	protein_coding
GLYMA_01G027500	GLYMA_01G027500	protein_coding
GLYMA_01G027600	GLYMA_01G027600	protein_coding
GLYMA_01G027700	GLYMA_01G027700	protein_coding
GLYMA_01G027800	GLYMA_01G027800	protein_coding
GLYMA_01G027900	GLYMA_01G027900	protein_coding
GLYMA_01G028000	GLYMA_01G028000	protein_coding
GLYMA_01G028100	GLYMA_01G028100	protein_coding
GLYMA_01G028200	GLYMA_01G028200	protein_coding
GLYMA_01G028300	GLYMA_01G028300	protein_coding
GLYMA_01G028400	GLYMA_01G028400	protein_coding
GLYMA_01G028500	GLYMA_01G028500	protein_coding
GLYMA_01G028600	GLYMA_01G028600	protein_coding
GLYMA_01G028700	GLYMA_01G028700	protein_coding
GLYMA_01G028800	GLYMA_01G028800	protein_coding
GLYMA_01G028900	GLYMA_01G028900	protein_coding
GLYMA_01G029000	GLYMA_01G029000	protein_coding
GLYMA_01G029100	GLYMA_01G029100	protein_coding
GLYMA_01G029200	GLYMA_01G029200	protein_coding
GLYMA_01G029300	GLYMA_01G029300	protein_coding
GLYMA_01G029400	GLYMA_01G029400	protein_coding
GLYMA_01G029500	GLYMA_01G029500	protein_coding
GLYMA_01G029600	GLYMA_01G029600	protein_coding
GLYMA_01G029700	GLYMA_01G029700	protein_coding
GLYMA_01G029800	GLYMA_01G029800	protein_coding
GLYMA_01G029900	GLYMA_01G029900	protein_coding
GLYMA_01G030000	GLYMA_01G030000	protein_coding
GLYMA_01G030100	GLYMA_01G030100	protein_coding
GLYMA_01G030200	GLYMA_01G030200	protein_coding
GLYMA_01G030300	GLYMA_01G030300	protein_coding
GLYMA_01G030400	GLYMA_01G030400	protein_coding
GLYMA_01G030500	GLYMA_01G030500	protein_coding
GLYMA_01G030600	GLYMA_01G030600	protein_coding
GLYMA_01G030700	GLYMA_01G030700	protein_coding
GLYMA_01G030800	GLYMA_01G030800	protein_coding
GLYMA_01G030900	GLYMA_01G030900	protein_coding
GLYMA_01G031000	GLYMA_01G031000	protein_coding
GLYMA_01G031100	GLYMA_01G031100	protein_coding
GLYMA_01G031200	GLYMA_01G031200	protein_coding
GLYMA_01G031300	GLYMA_01G031300	protein_coding
GLYMA_01G031400	GLYMA_01G031400	protein_coding
GLYMA_01G031500	GLYMA_01G031500	protein_coding
GLYMA_01G031600	GLYMA_01G031600	protein_coding
GLYMA_01G031700	GLYMA_01G031700	protein_coding
GLYMA_01G031800	GLYMA_01G031800	protein_coding
GLYMA_01G031900	GLYMA_01G031900	protein_coding
GLYMA_01G032000	GLYMA_01G032000	protein_coding
GLYMA_01G032100	GLYMA_01G032100	protein_coding
GLYMA_01G032200	GLYMA_01G032200	protein_coding
GLYMA_01G032300	GLYMA_01G032300	protein_coding
GLYMA_01G032400	GLYMA_01G032400	protein_coding
GLYMA_01G032500	GLYMA_01G032500	protein_coding
GLYMA_01G032600	GLYMA_01G032600	protein_coding
GLYMA_01G032700	GLYMA_01G032700	protein_coding
GLYMA_01G032800	GLYMA_01G032800	protein_coding
GLYMA_01G032900	GLYMA_01G032900	protein_coding
GLYMA_01G033000	GLYMA_01G033000	protein_coding
GLYMA_01G033100	GLYMA_01G033100	protein_coding
GLYMA_01G033200	GLYMA_01G033200	protein_coding
GLYMA_01G033300	GLYMA_01G033300	protein_coding
GLYMA_01G033400	GLYMA_01G033400	protein_coding
GLYMA_01G033500	GLYMA_01G033500	protein_coding
GLYMA_01G033600	GLYMA_01G033600	protein_coding
GLYMA_01G033700	GLYMA_01G033700	protein_coding
GLYMA_01G033800	GLYMA_01G033800	protein_coding
GLYMA_01G033900	GLYMA_01G033900	protein_coding
GLYMA_01G034000	GLYMA_01G034000	protein_coding
GLYMA_01G034100	GLYMA_01G034100	protein_coding
GLYMA_01G034200	GLYMA_01G034200	protein_coding
GLYMA_01G034300	GLYMA_01G034300	protein_coding
GLYMA_01G034400	GLYMA_01G034400	protein_coding
GLYMA_01G034500	GLYMA_01G034500	protein_coding
