Gene	Name	Type
LOC124908657	LOC124908657	NA
LOC124908568	LOC124908568	NA
LOC124909077	LOC124909077	NA
LOC124908672	LOC124908672	NA
LOC124908630	LOC124908630	NA
LOC124908639	LOC124908639	NA
LOC124908638	LOC124908638	NA
LOC124908637	LOC124908637	NA
LOC124909254	LOC124909254	NA
LOC124908778	LOC124908778	NA
LOC124908779	LOC124908779	NA
LOC124909112	LOC124909112	NA
LOC124909181	LOC124909181	NA
LOC124908576	LOC124908576	NA
LOC124908663	LOC124908663	NA
LOC124908664	LOC124908664	NA
LOC124909043	LOC124909043	NA
LOC124909034	LOC124909034	NA
LOC124909042	LOC124909042	NA
LOC124909036	LOC124909036	NA
LOC124909035	LOC124909035	NA
LOC124909039	LOC124909039	NA
LOC124909037	LOC124909037	NA
LOC124909032	LOC124909032	NA
LOC124909038	LOC124909038	NA
LOC124909040	LOC124909040	NA
LOC124909033	LOC124909033	NA
LOC124909041	LOC124909041	NA
LOC124908860	LOC124908860	NA
LOC124908854	LOC124908854	NA
LOC124908852	LOC124908852	NA
LOC124908856	LOC124908856	NA
LOC124908850	LOC124908850	NA
LOC124908858	LOC124908858	NA
LOC124908859	LOC124908859	NA
LOC124908855	LOC124908855	NA
LOC124908857	LOC124908857	NA
LOC124908849	LOC124908849	NA
LOC124908853	LOC124908853	NA
LOC124908851	LOC124908851	NA
LOC124908842	LOC124908842	NA
LOC124908840	LOC124908840	NA
LOC124908845	LOC124908845	NA
LOC124908844	LOC124908844	NA
LOC124908837	LOC124908837	NA
LOC124908838	LOC124908838	NA
LOC124908843	LOC124908843	NA
LOC124908841	LOC124908841	NA
LOC124908848	LOC124908848	NA
LOC124908847	LOC124908847	NA
LOC124908846	LOC124908846	NA
LOC124908839	LOC124908839	NA
LOC124909149	LOC124909149	NA
LOC124909285	LOC124909285	NA
LOC124909287	LOC124909287	NA
LOC124909286	LOC124909286	NA
LOC124908868	LOC124908868	NA
LOC124908867	LOC124908867	NA
LOC124908869	LOC124908869	NA
LOC124908866	LOC124908866	NA
LOC124909162	LOC124909162	NA
LOC124908620	LOC124908620	NA
LOC124909120	LOC124909120	NA
LOC124908636	LOC124908636	NA
LOC124909205	LOC124909205	NA
LOC124909069	LOC124909069	NA
LOC124908651	LOC124908651	NA
LOC124908650	LOC124908650	NA
LOC124908977	LOC124908977	NA
LOC124909315	LOC124909315	NA
LOC124909314	LOC124909314	NA
LOC124909227	LOC124909227	NA
LOC124909226	LOC124909226	NA
LOC124909086	LOC124909086	NA
LOC124909092	LOC124909092	NA
LOC124909089	LOC124909089	NA
LOC124909087	LOC124909087	NA
LOC124909088	LOC124909088	NA
LOC124909091	LOC124909091	NA
LOC124909090	LOC124909090	NA
LOC124909085	LOC124909085	NA
LOC124909310	LOC124909310	NA
LOC124908950	LOC124908950	NA
LOC124908949	LOC124908949	NA
LOC124908945	LOC124908945	NA
LOC124908946	LOC124908946	NA
LOC124908948	LOC124908948	NA
LOC124908947	LOC124908947	NA
LOC124908944	LOC124908944	NA
LOC124908900	LOC124908900	NA
LOC124908902	LOC124908902	NA
LOC124908898	LOC124908898	NA
LOC124908901	LOC124908901	NA
LOC124908899	LOC124908899	NA
LOC124909186	LOC124909186	NA
LOC124909185	LOC124909185	NA
LOC124909183	LOC124909183	NA
LOC124909184	LOC124909184	NA
LOC124908662	LOC124908662	NA
LOC124909133	LOC124909133	NA
LOC124908573	LOC124908573	NA
LOC124908574	LOC124908574	NA
LOC124908572	LOC124908572	NA
LOC124909196	LOC124909196	NA
LOC124908878	LOC124908878	NA
LOC124908879	LOC124908879	NA
LOC124908877	LOC124908877	NA
LOC124909275	LOC124909275	NA
LOC124909272	LOC124909272	NA
LOC124909274	LOC124909274	NA
LOC124909276	LOC124909276	NA
LOC124909273	LOC124909273	NA
LOC124908627	LOC124908627	NA
LOC124908575	LOC124908575	NA
LOC124909204	LOC124909204	NA
LOC124909187	LOC124909187	NA
LOC124909054	LOC124909054	NA
LOC124908982	LOC124908982	NA
LOC124908618	LOC124908618	NA
LOC124908617	LOC124908617	NA
LOC124908616	LOC124908616	NA
LOC124909238	LOC124909238	NA
LOC124909237	LOC124909237	NA
LOC124909100	LOC124909100	NA
LOC124909099	LOC124909099	NA
LOC124909096	LOC124909096	NA
LOC124909097	LOC124909097	NA
LOC124909098	LOC124909098	NA
LOC124909094	LOC124909094	NA
LOC124909095	LOC124909095	NA
LOC124909308	LOC124909308	NA
LOC124908976	LOC124908976	NA
LOC124908975	LOC124908975	NA
LOC124908973	LOC124908973	NA
LOC124908974	LOC124908974	NA
LOC124909169	LOC124909169	NA
LOC124909104	LOC124909104	NA
LOC124908908	LOC124908908	NA
LOC124908906	LOC124908906	NA
LOC124908907	LOC124908907	NA
LOC124908673	LOC124908673	NA
LOC124908679	LOC124908679	NA
LOC124908680	LOC124908680	NA
LOC124908608	LOC124908608	NA
LOC124908607	LOC124908607	NA
LOC124908566	LOC124908566	NA
LOC124908567	LOC124908567	NA
LOC124909200	LOC124909200	NA
LOC124908965	LOC124908965	NA
LOC124908964	LOC124908964	NA
LOC124908962	LOC124908962	NA
LOC124908963	LOC124908963	NA
LOC124908959	LOC124908959	NA
LOC124908961	LOC124908961	NA
LOC124908956	LOC124908956	NA
LOC124908958	LOC124908958	NA
LOC124908955	LOC124908955	NA
LOC124908960	LOC124908960	NA
LOC124908957	LOC124908957	NA
LOC124908611	LOC124908611	NA
LOC124908625	LOC124908625	NA
LOC124908626	LOC124908626	NA
LOC124909202	LOC124909202	NA
LOC124909296	LOC124909296	NA
LOC124909297	LOC124909297	NA
LOC124908986	LOC124908986	NA
LOC124908983	LOC124908983	NA
LOC124908985	LOC124908985	NA
LOC124908984	LOC124908984	NA
LOC124908644	LOC124908644	NA
LOC124909323	LOC124909323	NA
LOC124908621	LOC124908621	NA
LOC124909188	LOC124909188	NA
LOC124909312	LOC124909312	NA
LOC124909313	LOC124909313	NA
LOC124908998	LOC124908998	NA
LOC124908992	LOC124908992	NA
LOC124908997	LOC124908997	NA
LOC124908991	LOC124908991	NA
LOC124908993	LOC124908993	NA
LOC124908995	LOC124908995	NA
LOC124908989	LOC124908989	NA
LOC124908996	LOC124908996	NA
LOC124908990	LOC124908990	NA
LOC124908994	LOC124908994	NA
LOC124908590	LOC124908590	NA
LOC124908781	LOC124908781	NA
LOC124908614	LOC124908614	NA
LOC124908612	LOC124908612	NA
LOC124908615	LOC124908615	NA
LOC124908613	LOC124908613	NA
LOC124909327	LOC124909327	NA
LOC124909328	LOC124909328	NA
LOC124909326	LOC124909326	NA
LOC124909325	LOC124909325	NA
LOC124909154	LOC124909154	NA
LOC124909152	LOC124909152	NA
LOC124909153	LOC124909153	NA
LOC124909150	LOC124909150	NA
LOC124909151	LOC124909151	NA
LOC124909125	LOC124909125	NA
LOC124909176	LOC124909176	NA
LOC124908585	LOC124908585	NA
LOC124908586	LOC124908586	NA
LOC124908584	LOC124908584	NA
LOC124908666	LOC124908666	NA
LOC124909208	LOC124909208	NA
LOC124908999	LOC124908999	NA
LOC124909242	LOC124909242	NA
LOC124909240	LOC124909240	NA
LOC124909244	LOC124909244	NA
LOC124909241	LOC124909241	NA
LOC124909243	LOC124909243	NA
LOC124909239	LOC124909239	NA
LOC124909172	LOC124909172	NA
LOC124909174	LOC124909174	NA
LOC124909170	LOC124909170	NA
LOC124909171	LOC124909171	NA
LOC124909173	LOC124909173	NA
LOC124909134	LOC124909134	NA
LOC124909105	LOC124909105	NA
LOC124909284	LOC124909284	NA
LOC124908560	LOC124908560	NA
LOC124908561	LOC124908561	NA
LOC124908559	LOC124908559	NA
LOC124909045	LOC124909045	NA
LOC124909207	LOC124909207	NA
LOC124908800	LOC124908800	NA
LOC124909198	LOC124909198	NA
LOC124909179	LOC124909179	NA
LOC124909178	LOC124909178	NA
LOC124909177	LOC124909177	NA
LOC124909180	LOC124909180	NA
LOC124909199	LOC124909199	NA
LOC124909102	LOC124909102	NA
LOC124908871	LOC124908871	NA
LOC124908870	LOC124908870	NA
LOC124909101	LOC124909101	NA
LOC124909213	LOC124909213	NA
LOC124909103	LOC124909103	NA
LOC124909148	LOC124909148	NA
LOC124909146	LOC124909146	NA
LOC124909147	LOC124909147	NA
LOC124908581	LOC124908581	NA
LOC124909311	LOC124909311	NA
LOC124908667	LOC124908667	NA
LOC124908677	LOC124908677	NA
LOC124908564	LOC124908564	NA
LOC124909044	LOC124909044	NA
LOC124908909	LOC124908909	NA
LOC124908683	LOC124908683	NA
CCNQP2	CCNQP2	NA
PARP4P1	PARP4P1	NA
SLC25A15P1	SLC25A15P1	NA
TPTE2P4	TPTE2P4	NA
CYCSP49	CYCSP49	NA
LOC124905308	LOC124905308	NA
ANKRD36P1	ANKRD36P1	NA
LOC105377244	LOC105377244	NA
CYCSP48	CYCSP48	NA
RNU6-1314P	RNU6-1314P	NA
LOC124908886	LOC124908886	NA
LOC124900506	LOC124900506	NA
LOC124908903	LOC124908903	NA
LOC124908692	LOC124908692	NA
LOC124908885	LOC124908885	NA
LOC107987349	LOC107987349	NA
HSFY6P	HSFY6P	NA
USP9YP18	USP9YP18	NA
LOC124908884	LOC124908884	NA
LOC124908691	LOC124908691	NA
USP9YP25	USP9YP25	NA
RNU1-97P	RNU1-97P	NA
USP9YP29	USP9YP29	NA
RAB9AP1	RAB9AP1	NA
ELOCP9	ELOCP9	NA
LOC124908690	LOC124908690	NA
LOC124908689	LOC124908689	NA
USP9YP13	USP9YP13	NA
TTTY3B	TTTY3B	NA
RNU1-86P	RNU1-86P	NA
USP9YP12	USP9YP12	NA
ELOCP10	ELOCP10	NA
CDY1B	CDY1B	NA
LOC124908688	LOC124908688	NA
USP9YP35	USP9YP35	NA
USP9YP31	USP9YP31	NA
LOC124908687	LOC124908687	NA
LOC124908883	LOC124908883	NA
CSPG4P3Y	CSPG4P3Y	NA
RN7SL818P	RN7SL818P	NA
GOLGA2P2Y	GOLGA2P2Y	NA
LOC124908686	LOC124908686	NA
LOC124908685	LOC124908685	NA
SEPTIN14P23	SEPTIN14P23	NA
TTTY17C	TTTY17C	NA
BPY2	BPY2	NA
LOC105377238	LOC105377238	NA
DAZ2	DAZ2	NA
DAZ1	DAZ1	NA
LOC105377239	LOC105377239	NA
PPP1R12BP1	PPP1R12BP1	NA
LOC124900507	LOC124900507	NA
RBMY2DP	RBMY2DP	NA
OFD1P15Y	OFD1P15Y	NA
LOC107987352	LOC107987352	NA
HSFY8P	HSFY8P	NA
USP9YP26	USP9YP26	NA
CDY23P	CDY23P	NA
ELOCP11	ELOCP11	NA
PRYP4	PRYP4	NA
XKRYP6	XKRYP6	NA
USP9YP21	USP9YP21	NA
RNU1-40P	RNU1-40P	NA
USP9YP20	USP9YP20	NA
RAB9AP3	RAB9AP3	NA
TRAPPC2P4	TRAPPC2P4	NA
OFD1P18Y	OFD1P18Y	NA
OFD1P14Y	OFD1P14Y	NA
ELOCP17	ELOCP17	NA
CDY22P	CDY22P	NA
CDY21P	CDY21P	NA
XKRYP5	XKRYP5	NA
USP9YP19	USP9YP19	NA
USP9YP9	USP9YP9	NA
TTTY3	TTTY3	NA
RNU1-107P	RNU1-107P	NA
USP9YP30	USP9YP30	NA
RAB9AP2	RAB9AP2	NA
TRAPPC2P5	TRAPPC2P5	NA
OFD1P13Y	OFD1P13Y	NA
ELOCP34	ELOCP34	NA
CDY1	CDY1	NA
CDY20P	CDY20P	NA
USP9YP33	USP9YP33	NA
