Gene	Name	Type
"YBR253W"	 "SRB6"	"protein_coding"
"YBR254C"	 "TRS20"	"protein_coding"
"YBR255W"	 "MTC4"	"protein_coding"
"YBR256C"	 "RIB5"	"protein_coding"
"YBR257W"	 "POP4"	"protein_coding"
"YBR258C"	 "SHG1"	"protein_coding"
"YBR260C"	 "RGD1"	"protein_coding"
"YBR261C"	 "TAE1"	"protein_coding"
"YBR262C"	 "MIC12"	"protein_coding"
"YBR263W"	 "SHM1"	"protein_coding"
"YBR264C"	 "YPT10"	"protein_coding"
"YBR265W"	 "TSC10"	"protein_coding"
"YBR266C"	 "SLM6"	"protein_coding"
"YBR267W"	 "REI1"	"protein_coding"
"YBR268W"	 "MRPL37"	"protein_coding"
"YBR269C"	 "SDH8"	"protein_coding"
"YBR270C"	 "BIT2"	"protein_coding"
"YBR271W"	 "EFM2"	"protein_coding"
"YBR272C"	 "HSM3"	"protein_coding"
"YBR273C"	 "UBX7"	"protein_coding"
"YBR274W"	 "CHK1"	"protein_coding"
"YBR275C"	 "RIF1"	"protein_coding"
"YBR276C"	 "PPS1"	"protein_coding"
"YBR278W"	 "DPB3"	"protein_coding"
"YBR279W"	 "PAF1"	"protein_coding"
"YBR280C"	 "SAF1"	"protein_coding"
"YBR281C"	 "DUG2"	"protein_coding"
"YBR282W"	 "MRPL27"	"protein_coding"
"YBR283C"	 "SSH1"	"protein_coding"
"YBR286W"	 "APE3"	"protein_coding"
"YBR288C"	 "APM3"	"protein_coding"
"YBR289W"	 "SNF5"	"protein_coding"
"YBR290W"	 "BSD2"	"protein_coding"
"YBR291C"	 "CTP1"	"protein_coding"
"YBR293W"	 "VBA2"	"protein_coding"
"YBR294W"	 "SUL1"	"protein_coding"
"YBR295W"	 "PCA1"	"protein_coding"
"YBR296C"	 "PHO89"	"protein_coding"
"YBR297W"	 "MAL33"	"protein_coding"
"YBR298C"	 "MAL31"	"protein_coding"
"YBR299W"	 "MAL32"	"protein_coding"
"YBR301W"	 "PAU24"	"protein_coding"
"YBR302C"	 "COS2"	"protein_coding"
"YCL001W"	 "RER1"	"protein_coding"
"YCL004W"	 "PGS1"	"protein_coding"
"YCL005W"	 "LDB16"	"protein_coding"
"YCL005W-A"	 "VMA9"	"protein_coding"
"YCL008C"	 "STP22"	"protein_coding"
"YCL009C"	 "ILV6"	"protein_coding"
"YCL010C"	 "SGF29"	"protein_coding"
"YCL011C"	 "GBP2"	"protein_coding"
"YCL014W"	 "BUD3"	"protein_coding"
"YCL016C"	 "DCC1"	"protein_coding"
"YCL017C"	 "NFS1"	"protein_coding"
"YCL018W"	 "LEU2"	"protein_coding"
"YCL024W"	 "KCC4"	"protein_coding"
"YCL025C"	 "AGP1"	"protein_coding"
"YCL026C-A"	 "FRM2"	"protein_coding"
"YCL026C-B"	 "HBN1"	"protein_coding"
"YCL027W"	 "FUS1"	"protein_coding"
"YCL028W"	 "RNQ1"	"protein_coding"
"YCL029C"	 "BIK1"	"protein_coding"
"YCL030C"	 "HIS4"	"protein_coding"
"YCL031C"	 "RRP7"	"protein_coding"
"YCL032W"	 "STE50"	"protein_coding"
"YCL033C"	 "MXR2"	"protein_coding"
"YCL034W"	 "LSB5"	"protein_coding"
"YCL035C"	 "GRX1"	"protein_coding"
"YCL036W"	 "GFD2"	"protein_coding"
"YCL037C"	 "SRO9"	"protein_coding"
"YCL038C"	 "ATG22"	"protein_coding"
"YCL039W"	 "GID7"	"protein_coding"
"YCL040W"	 "GLK1"	"protein_coding"
"YCL043C"	 "PDI1"	"protein_coding"
"YCL044C"	 "MGR1"	"protein_coding"
"YCL045C"	 "EMC1"	"protein_coding"
"YCL047C"	 "POF1"	"protein_coding"
"YCL048W"	 "SPS22"	"protein_coding"
"YCL050C"	 "APA1"	"protein_coding"
"YCL051W"	 "LRE1"	"protein_coding"
"YCL052C"	 "PBN1"	"protein_coding"
"YCL054W"	 "SPB1"	"protein_coding"
"YCL055W"	 "KAR4"	"protein_coding"
"YCL056C"	 "PEX34"	"protein_coding"
"YCL057C-A"	 "MIC10"	"protein_coding"
"YCL057W"	 "PRD1"	"protein_coding"
"YCL058C"	 "FYV5"	"protein_coding"
"YCL058W-A"	 "ADF1"	"protein_coding"
"YCL059C"	 "KRR1"	"protein_coding"
"YCL061C"	 "MRC1"	"protein_coding"
"YCL063W"	 "VAC17"	"protein_coding"
"YCL064C"	 "CHA1"	"protein_coding"
"YCL066W"	 "HMLALPHA1"	"protein_coding"
"YCL067C"	 "HMLALPHA2"	"protein_coding"
"YCL069W"	 "VBA3"	"protein_coding"
"YCL073C"	 "GEX1"	"protein_coding"
"YCR002C"	 "CDC10"	"protein_coding"
"YCR003W"	 "MRPL32"	"protein_coding"
"YCR004C"	 "YCP4"	"protein_coding"
"YCR005C"	 "CIT2"	"protein_coding"
"YCR008W"	 "SAT4"	"protein_coding"
"YCR009C"	 "RVS161"	"protein_coding"
"YCR010C"	 "ADY2"	"protein_coding"
"YCR011C"	 "ADP1"	"protein_coding"
"YCR012W"	 "PGK1"	"protein_coding"
"YCR014C"	 "POL4"	"protein_coding"
"YCR017C"	 "CWH43"	"protein_coding"
"YCR018C"	 "SRD1"	"protein_coding"
"YCR019W"	 "MAK32"	"protein_coding"
"YCR020C"	 "PET18"	"protein_coding"
"YCR020C-A"	 "MAK31"	"protein_coding"
"YCR020W-B"	 "HTL1"	"protein_coding"
"YCR021C"	 "HSP30"	"protein_coding"
"YCR024C"	 "SLM5"	"protein_coding"
"YCR024C-A"	 "PMP1"	"protein_coding"
"YCR026C"	 "NPP1"	"protein_coding"
"YCR027C"	 "RHB1"	"protein_coding"
"YCR028C"	 "FEN2"	"protein_coding"
"YCR028C-A"	 "RIM1"	"protein_coding"
"YCR030C"	 "SYP1"	"protein_coding"
"YCR031C"	 "RPS14A"	"protein_coding"
"YCR032W"	 "BPH1"	"protein_coding"
"YCR033W"	 "SNT1"	"protein_coding"
"YCR034W"	 "ELO2"	"protein_coding"
"YCR035C"	 "RRP43"	"protein_coding"
"YCR036W"	 "RBK1"	"protein_coding"
"YCR037C"	 "PHO87"	"protein_coding"
"YCR038C"	 "BUD5"	"protein_coding"
"YCR039C"	 "MATALPHA2"	"protein_coding"
"YCR040W"	 "MATALPHA1"	"protein_coding"
"YCR042C"	 "TAF2"	"protein_coding"
"YCR044C"	 "PER1"	"protein_coding"
"YCR045C"	 "RRT12"	"protein_coding"
"YCR046C"	 "IMG1"	"protein_coding"
"YCR047C"	 "BUD23"	"protein_coding"
"YCR048W"	 "ARE1"	"protein_coding"
"YCR052W"	 "RSC6"	"protein_coding"
"YCR053W"	 "THR4"	"protein_coding"
"YCR054C"	 "CTR86"	"protein_coding"
"YCR057C"	 "PWP2"	"protein_coding"
"YCR059C"	 "YIH1"	"protein_coding"
"YCR060W"	 "TAH1"	"protein_coding"
"YCR063W"	 "BUD31"	"protein_coding"
"YCR065W"	 "HCM1"	"protein_coding"
"YCR066W"	 "RAD18"	"protein_coding"
"YCR067C"	 "SED4"	"protein_coding"
"YCR068W"	 "ATG15"	"protein_coding"
"YCR069W"	 "CPR4"	"protein_coding"
"YCR071C"	 "IMG2"	"protein_coding"
"YCR072C"	 "RSA4"	"protein_coding"
"YCR073C"	 "SSK22"	"protein_coding"
"YCR073W-A"	 "SOL2"	"protein_coding"
"YCR075C"	 "ERS1"	"protein_coding"
"YCR076C"	 "FUB1"	"protein_coding"
"YCR077C"	 "PAT1"	"protein_coding"
"YCR079W"	 "PTC6"	"protein_coding"
"YCR081W"	 "SRB8"	"protein_coding"
"YCR082W"	 "AHC2"	"protein_coding"
"YCR083W"	 "TRX3"	"protein_coding"
"YCR084C"	 "TUP1"	"protein_coding"
